Test Image,Shared Image,Test Image Name,Shared Image Name,Similarity,,,,,,,,,,,,,,,
4.jpg,0.jpg,Top,Shoe,0.318754907,,,,,,,,,,,,,,,
4.jpg,0.jpg,Top,Shoe,0.311210108,,,,,,,,,,,,,,,
4.jpg,1.png,Top,Pants,0.396373893,,,,,,,,,,,,,,,
4.jpg,1.png,Top,Top,0.670809169,,,,,,,,,,,,,,,
4.jpg,1.png,Top,Hat,0.366836395,,,,,,,,,,,,,,,
4.jpg,1.png,Top,Shoe,0.26651264,,,,,,,,,,,,,,,
4.jpg,2.jpg,Top,Pants,0.353410672,,,,,,,,,,,,,,,
4.jpg,2.jpg,Top,Top,0.681783835,,,,,,,,,,,,,,,
4.jpg,2.jpg,Top,Shoe,0.263890659,,,,,,,,,,,,,,,
4.jpg,2.jpg,Top,Shoe,0.263930793,,,,,,,,,,,,,,,
